time,P,G(i),H_sun,T2m,WS10m,Int
20230116:0610,0,0,0,10.75,6.21,0
20230116:0710,5800,10.77,5.63,10.3,5.17,0
20230116:0810,926700,431.77,13.63,10.72,5.66,0
20230116:0910,32075,27.35,19.89,10.74,4.83,0
20230116:1010,106425,65.47,23.88,10.63,4,0
20230116:1110,79200,52.21,25.14,11.14,2.62,0
20230116:1210,711575,342.57,23.52,12.06,2.62,0
20230116:1310,672500,322.41,19.21,12.12,3.72,0
20230116:1410,279250,144.77,12.7,12.05,3.86,0
20230116:1510,0,3.31,4.52,11.35,3.1,0
20230116:1610,0,0,0,10.56,1.93,0
20230116:1710,0,0,0,9.77,0.97,0
20230116:1810,0,0,0,8.46,1.72,0
20230116:1910,0,0,0,8.69,3.86,0
20230116:2010,0,0,0,8.72,4.83,0
20230116:2110,0,0,0,9.08,5.38,0
20230116:2210,0,0,0,9.65,5.52,0
20230116:2310,0,0,0,10.02,5.17,0
20230117:0010,0,0,0,9.83,4.69,0
20230117:0110,0,0,0,9.84,4.48,0
20230117:0210,0,0,0,10,3.52,0
20230117:0310,0,0,0,9.8,3.31,0
20230117:0410,0,0,0,9.19,3.03,0
20230117:0510,0,0,0,8.75,1.38,0
20230117:0610,0,0,0,8.04,1.72,0
20230117:0710,22475,21.55,5.74,7.55,2.07,0
20230117:0810,52225,38.12,13.76,9.42,2.34,0
20230117:0910,66275,45.58,20.05,10.72,3.38,0
20230117:1010,40975,32.32,24.05,11.08,4.76,0
20230117:1110,95850,60.5,25.34,11.66,6.07,0
20230117:1210,56350,40.61,23.72,11.99,7.59,0
20230117:1310,97500,61.33,19.42,11.94,9.24,0
20230117:1410,102825,63.85,12.91,12.26,8.9,0
20230117:1510,426000,207.38,4.72,12.71,8.83,0
20230117:1610,0,0,0,13.17,7.86,0
20230117:1710,0,0,0,13.28,7.66,0
20230117:1810,0,0,0,13.21,7.66,0
20230117:1910,0,0,0,11.91,4.9,0
20230117:2010,0,0,0,11.93,3.52,0
20230117:2110,0,0,0,11.73,2.9,0
20230117:2210,0,0,0,11.54,2.62,0
20230117:2310,0,0,0,11.06,2.76,0
20230118:0010,0,0,0,10.72,3.66,0
20230118:0110,0,0,0,11.13,4.55,0
20230118:0210,0,0,0,11,6.41,0
20230118:0310,0,0,0,9.59,6.21,0
20230118:0410,0,0,0,9.19,4.9,0
20230118:0510,0,0,0,9.38,4.14,0
20230118:0610,0,0,0,9.17,4.55,0
20230118:0710,122025,71.32,5.84,8.85,1.17,0
20230118:0810,152250,86.49,13.89,9.18,2.34,0
20230118:0910,792600,375.66,20.2,10.12,2.76,0
20230118:1010,1567850,750.06,24.24,11.42,3.72,0
20230118:1110,173150,97.79,25.54,12.2,3.59,0
20230118:1210,216375,118.12,23.94,12.53,3.17,0
20230118:1310,816025,388.7,19.64,12.78,4.07,0
20230118:1410,143700,83.1,13.12,11.71,5.45,0
20230118:1510,16750,18.23,4.92,10.1,5.86,0
20230118:1610,0,0,0,9.63,5.72,0
20230118:1710,0,0,0,9.69,4.97,0
20230118:1810,0,0,0,10.08,4.48,0
20230118:1910,0,0,0,9.53,3.38,0
20230118:2010,0,0,0,9.42,2.07,0
20230118:2110,0,0,0,8.74,0.83,0
20230118:2210,0,0,0,8.45,0.48,0
20230118:2310,0,0,0,7.81,0.76,0
20230119:0010,0,0,0,7.71,0.76,0
20230119:0110,0,0,0,7.39,0.48,0
20230119:0210,0,0,0,7.49,0.07,0
20230119:0310,0,0,0,7.43,0.69,0
20230119:0410,0,0,0,7.52,1.59,0
20230119:0510,0,0,0,7.35,2.41,0
20230119:0610,0,0,0,7.31,2.41,0
20230119:0710,25350,23.2,5.96,7.16,1.24,0
20230119:0810,1605900,780.84,14.03,7.49,0.83,0
20230119:0910,1870075,929.88,20.37,8.84,1.17,0
20230119:1010,98600,61.33,24.42,8.99,2.28,0
20230119:1110,312650,160.26,25.74,9.24,2.34,0
20230119:1210,1921525,956.03,24.15,9.11,1.45,0
20230119:1310,1401250,675.46,19.86,8.96,1.17,0
20230119:1410,1239900,587.85,13.33,9.05,1.72,0
20230119:1510,584425,277.35,5.13,8.87,1.59,0
20230119:1610,0,0,0,8.08,1.79,0
20230119:1710,0,0,0,7.39,2.34,0
20230119:1810,0,0,0,6.88,2.48,0
20230119:1910,0,0,0,6.56,2.62,0
20230119:2010,0,0,0,6.01,2.48,0
20230119:2110,0,0,0,5.54,2.48,0
20230119:2210,0,0,0,5.09,2.9,0
20230119:2310,0,0,0,4.88,2.97,0
20230120:0010,0,0,0,4.67,2.83,0
20230120:0110,0,0,0,4.3,2.41,0
20230120:0210,0,0,0,4.1,2.41,0
20230120:0310,0,0,0,3.9,2.69,0
20230120:0410,0,0,0,3.54,3.1,0
20230120:0510,0,0,0,3.57,3.66,0
20230120:0610,0,0,0,3.63,3.79,0
20230120:0710,1226525,557.67,6.08,4,3.31,0
20230120:0810,841950,386.45,14.17,4.45,2.97,0
20230120:0910,1999575,947.28,20.54,5.39,3.52,0
20230120:1010,2110500,1002.84,24.62,6.17,4.21,0
20230120:1110,2087475,995.3,25.96,6.99,4.21,0
20230120:1210,2040825,972.7,24.38,7.32,4.14,0
20230120:1310,1947625,920.03,20.08,7.26,4.41,0
20230120:1410,1760625,819.39,13.55,6.82,4.69,0
20230120:1510,1075125,487.56,5.34,6.08,5.17,0
20230120:1610,0,0,0,4.93,5.86,0
20230120:1710,0,0,0,4,6.34,0
20230120:1810,0,0,0,3.52,6.76,0
20230120:1910,0,0,0,3.14,7.59,0
20230120:2010,0,0,0,3.2,7.72,0
20230120:2110,0,0,0,3.24,8.07,0
20230120:2210,0,0,0,3.18,8.41,0
20230120:2310,0,0,0,2.99,9.03,0
20230121:0010,0,0,0,2.72,9.38,0
20230121:0110,0,0,0,2.55,9.72,0
20230121:0210,0,0,0,2.39,9.79,0
20230121:0310,0,0,0,2.18,10,0
20230121:0410,0,0,0,2.03,10.21,0
20230121:0510,0,0,0,1.76,10.41,0
20230121:0610,0,0,0,1.98,10.21,0
20230121:0710,303225,147.32,6.21,2.29,10.97,0
20230121:0810,252700,127.56,14.33,2.56,11.03,0
20230121:0910,93300,57.18,20.71,2.74,10.62,0
20230121:1010,81100,51.38,24.82,2.82,9.03,0
20230121:1110,321425,158.89,26.18,3.05,9.31,0
20230121:1210,571325,265.05,24.61,3.18,8.76,0
20230121:1310,73975,48.07,20.31,3.5,9.24,0
20230121:1410,25925,23.2,13.78,3.5,9.17,0
20230121:1510,10875,14.09,5.55,3.25,9.17,0
20230121:1610,0,0,0,3.09,8.76,0
20230121:1710,0,0,0,3.56,8.83,0
20230121:1810,0,0,0,3.84,8.76,0
20230121:1910,0,0,0,3.8,8.55,0
20230121:2010,0,0,0,4.18,7.17,0
20230121:2110,0,0,0,4.34,5.86,0
20230121:2210,0,0,0,3.93,4.69,0
20230121:2310,0,0,0,3.61,4.14,0
20230122:0010,0,0,0,3.46,3.72,0
20230122:0110,0,0,0,3.3,3.66,0
20230122:0210,0,0,0,2.91,3.79,0
20230122:0310,0,0,0,2.55,4.14,0
20230122:0410,0,0,0,2.34,4.55,0
20230122:0510,0,0,0,2.36,4.69,0
20230122:0610,0,0,0,2.28,4.83,0
20230122:0710,20275,19.89,6.35,2.65,4.69,0
20230122:0810,50725,36.46,14.48,3.21,4.62,0
20230122:0910,78675,50.55,20.9,4.28,4.83,0
20230122:1010,137425,78.73,25.03,5.73,4.9,0
20230122:1110,466425,225.58,26.4,6.96,4.69,0
20230122:1210,69100,46.41,24.84,7.4,4.48,0
20230122:1310,118700,70.44,20.55,7.31,4.34,0
20230122:1410,240725,124.98,14,6.9,4.41,0
20230122:1510,11925,14.92,5.77,6.17,4.34,0
20230122:1610,0,0,0,5.02,4.34,0
20230122:1710,0,0,0,4.12,5.1,0
20230122:1810,0,0,0,3.33,5.59,0
20230122:1910,0,0,0,3.61,5.72,0
20230122:2010,0,0,0,3.69,5.72,0
20230122:2110,0,0,0,3.53,5.79,0
20230122:2210,0,0,0,3.06,6,0
20230122:2310,0,0,0,2.64,6.34,0
20230123:0010,0,0,0,2.64,6.34,0
20230123:0110,0,0,0,2.79,6.41,0
20230123:0210,0,0,0,2.98,6.9,0
20230123:0310,0,0,0,3.39,7.1,0
20230123:0410,0,0,0,3.74,6.9,0
20230123:0510,0,0,0,3.77,6.55,0
20230123:0610,0,0,0,3.76,6.21,0
20230123:0710,145450,80.31,6.49,4.01,6.62,0
20230123:0810,44000,33.15,14.65,4.73,6.48,0
20230123:0910,125050,72.93,21.09,5.69,5.59,0
20230123:1010,166750,92.82,25.24,7.34,5.17,0
20230123:1110,1210925,563.05,26.64,8.81,5.03,0
20230123:1210,105200,64.64,25.08,9.85,4.97,0
20230123:1310,81300,53.04,20.78,10.3,4.76,0
20230123:1410,423600,207.48,14.23,10.3,5.03,0
20230123:1510,1004450,465.78,5.99,9.95,4.41,0
20230123:1610,0,0,0,8.86,3.72,0
20230123:1710,0,0,0,7.61,3.45,0
20230123:1810,0,0,0,6.46,3.17,0
20230123:1910,0,0,0,6.75,3.38,0
20230123:2010,0,0,0,6.26,3.31,0
20230123:2110,0,0,0,5.95,3.1,0
20230123:2210,0,0,0,5.73,2.83,0
20230123:2310,0,0,0,5.3,2.83,0
20230124:0010,0,0,0,4.92,3.1,0
20230124:0110,0,0,0,4.82,3.38,0
20230124:0210,0,0,0,4.61,3.45,0
20230124:0310,0,0,0,4.41,3.38,0
20230124:0410,0,0,0,4.23,3.52,0
20230124:0510,0,0,0,4.12,3.66,0
